ProdTaken,Age,CityTier,DurationOfPitch,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TypeofContact_Company Invited,TypeofContact_Self Enquiry,TypeofContact_Unknown,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Unmarried,TotalVisiting
1,0.5348837209302326,3,-1.1650023144655137,0,3.0,2,3.0,1.0,1,2,1,0,-0.5032995480844012,0,1,0,0,1,0,0,0,1,3.0
0,0.7209302325581396,1,-0.16715113218124683,1,4.0,2,4.0,2.0,0,3,1,0,-0.6749108473044262,1,0,0,0,1,0,1,0,0,5.0
0,0.34883720930232565,1,-0.7908081211089137,0,3.0,0,3.0,2.0,1,5,1,2,-1.1165663462240965,1,0,0,0,1,0,1,0,0,3.0
0,0.45633174702942136,1,-0.9155395188944471,1,3.0,0,4.0,1.0,0,5,1,2,-1.0054067677026666,0,1,0,0,0,1,1,0,0,2.0
0,0.32558139534883723,1,-0.9155395188944471,1,3.0,0,3.0,1.0,0,5,1,2,-1.084948505463976,1,0,0,0,1,0,0,0,1,4.0
0,0.9534883720930233,1,-0.7908081211089137,0,2.0,0,5.0,5.0,1,2,1,2,-1.1640925345364788,0,1,0,0,0,1,1,0,0,3.0
0,0.2790697674418605,1,1.8285512323872872,1,3.0,0,3.0,2.0,0,2,0,2,-1.1595188846152036,0,1,0,0,1,0,0,1,0,4.0
0,0.4651162790697675,1,1.703819834601754,1,4.0,1,3.0,1.0,0,3,0,1,0.1992528506923638,1,0,0,0,1,0,0,0,1,2.0
0,0.41860465116279066,1,2.2027454257438874,1,3.0,2,3.0,7.0,0,3,1,0,-0.6536334324532759,0,1,0,0,0,1,1,0,0,3.0
0,0.39534883720930236,1,0.8307000501030202,1,2.0,0,4.0,1.0,0,3,1,2,-1.2126129945708775,0,1,0,0,0,1,1,0,0,3.0
0,0.45633174702942136,1,0.7059686523174868,0,4.0,2,3.0,1.0,1,3,0,0,-0.234050765762369,0,1,0,0,1,0,0,0,1,2.0
0,0.3023255813953488,1,2.078014027958354,1,3.0,0,3.0,2.0,0,3,0,2,-1.11616863753529,0,1,0,0,1,0,0,1,0,3.0
0,0.37209302325581395,1,1.2048942434596204,1,3.0,0,3.0,1.0,0,3,0,2,-1.1658822236361082,0,1,0,0,0,1,0,1,0,5.0
1,0.2325581395348838,1,1.8285512323872872,1,4.0,0,3.0,6.0,1,2,0,2,-1.2917570236433804,0,1,0,0,1,0,0,0,1,2.0
0,0.2558139534883721,1,1.454357039030687,0,2.0,1,5.0,2.0,0,5,1,1,0.2895327230514499,0,1,0,0,1,0,0,1,0,3.0
0,0.32558139534883723,1,-0.541345325537847,1,2.0,0,4.0,1.0,1,2,1,2,-1.0392120062512231,0,1,0,0,1,0,0,1,0,3.0
0,0.09302325581395354,1,0.8307000501030202,1,2.0,0,3.0,2.0,1,3,0,2,-1.1113961332696114,1,0,0,0,0,1,0,1,0,3.0
0,0.813953488372093,3,-0.9155395188944471,0,4.0,3,3.0,3.0,0,3,1,3,1.3726923370160802,0,1,0,0,1,0,1,0,0,3.0
0,0.45633174702942136,1,-0.9155395188944471,1,3.0,0,3.0,6.0,1,4,0,2,-0.234050765762369,0,1,0,0,1,0,0,0,1,3.0
0,0.45633174702942136,1,0.20704306117535332,0,2.0,2,3.0,1.0,0,3,1,0,-0.234050765762369,1,0,0,0,1,0,0,1,0,5.0
1,0.45633174702942136,3,-0.04241973439571344,1,4.0,2,5.0,1.0,0,2,0,0,-1.0175368827112663,0,1,0,0,1,0,0,0,1,2.0
0,0.37209302325581395,1,-0.2918825299667802,0,3.0,1,4.0,1.0,0,3,1,1,0.6900253726796426,0,1,0,0,1,0,0,0,1,2.0
0,0.06976744186046513,1,0.7059686523174868,1,3.0,0,3.0,2.0,0,3,1,2,-1.4500450817883859,0,1,0,0,1,0,0,0,1,4.0
1,0.37209302325581395,1,-0.41661392775231354,1,3.0,0,5.0,3.0,0,2,1,2,-1.1064247746595295,0,1,0,0,0,1,0,0,1,3.0
0,0.813953488372093,1,-0.541345325537847,0,3.0,4,3.0,5.0,0,5,0,4,2.101891217942884,0,1,0,0,1,0,0,1,0,3.0
1,0.45633174702942136,1,0.8307000501030202,0,5.0,0,5.0,2.0,1,4,1,2,-0.234050765762369,1,0,0,0,1,0,0,0,1,5.0
